61 52 61 -29 445 890 1780 3560 7121 6051 3910 7820 7449 6707 5223 2254 4508 825 1650 3301 0 0 0 1704 5265 4195 2054 5964 5593 4851 4096 398 4096 0 0 1445
57 57 57 -25 6602 5013 1834 3668 7337 6483 4775 1358 2716 5433 2674 5349 2506 5012 1832 3665 5002 4096 234 2068 5737 4883 4096 0 1116 4096 1074 4096 906 4096 232 2065
50 52 52 -20 7331 6470 4749 1306 2612 5224 2256 4513 834 1668 3336 6673 5154 2116 4232 272 6051 5190 4096 26 1332 4096 976 4096 0 388 2056 5393 4096 836 4096 0
34 52 52 -20 544 1088 2176 4352 513 1027 2054 4109 26 52 104 209 419 839 1678 3356 0 0 896 4096 0 0 774 4096 0 0 0 0 0 0 398 2076
57 36 57 -25 6713 5234 2276 4552 912 1824 3648 7297 6403 4614 1036 2072 4144 97 195 390 5113 4096 676 4096 0 224 2048 5697 4803 4096 0 472 4096 0 0 0
48 52 52 -20 781 1562 3124 6249 4306 420 841 1682 3365 6731 5270 2348 4697 1203 2407 4814 0 282 1844 4969 4096 0 0 402 2085 5451 4096 1068 4096 0 1127 4096
56 48 56 -24 1436 2872 5744 3297 6594 4997 1802 3604 7209 6226 4261 331 663 1327 2654 5308 0 1336 4208 1761 5058 4096 266 2068 5673 4690 4096 0 0 0 1118 4096
60 56 60 -28 2425 4851 1511 3022 6044 3896 7793 7395 6599 5006 1821 3642 7284 6377 4563 934 633 4096 0 1230 4252 2104 6001 5603 4807 4096 29 1850 5492 4585 4096 0
58 62 62 -30 1868 3737 7474 6757 5323 2455 4911 1631 3262 6525 4858 1524 3048 6096 4001 8003 0 1817 5554 4837 4096 535 4096 0 1342 4605 4096 0 1128 4176 2081 6083
58 50 58 -26 7814 7436 6681 5170 2148 4296 401 803 1607 3215 6430 4668 1145 2291 4583 975 6150 5772 5017 4096 484 4096 0 0 0 1551 4766 4096 0 627 4096 0
60 56 60 -28 1950 3900 7800 7409 6627 5062 1932 3865 7730 7268 6344 4496 801 1602 3205 6411 158 2108 6008 5617 4835 4096 140 2073 5938 5476 4552 4096 0 0 1413 4619
